loop filter i, loop filter gain, decoded packets
0.003, 0.03, 5.0
0.004, 0.03, 5.0
0.005, 0.03, 0.0
0.006, 0.03, 0.0
0.007, 0.03, 0.0
0.008, 0.03, 0.0
0.009000000000000001, 0.03, 0.0
0.010000000000000002, 0.03, 1.0
0.011000000000000003, 0.03, 0.0
0.012000000000000004, 0.03, 0.0
0.013000000000000005, 0.03, 2.0
0.014000000000000005, 0.03, 0.0
0.015000000000000006, 0.03, 2.0
0.016000000000000007, 0.03, 2.0
0.017000000000000008, 0.03, 1.0
0.01800000000000001, 0.03, 0.0
0.01900000000000001, 0.03, 0.0
0.003, 0.04, 2.0
0.004, 0.04, 3.0
0.005, 0.04, 0.0
0.006, 0.04, 3.0
0.007, 0.04, 3.0
0.008, 0.04, 2.0
0.009000000000000001, 0.04, 6.0
0.010000000000000002, 0.04, 3.0
0.011000000000000003, 0.04, 4.0
0.012000000000000004, 0.04, 1.0
0.013000000000000005, 0.04, 2.0
0.014000000000000005, 0.04, 1.0
0.015000000000000006, 0.04, 2.0
0.016000000000000007, 0.04, 1.0
0.017000000000000008, 0.04, 0.0
0.01800000000000001, 0.04, 3.0
0.01900000000000001, 0.04, 0.0
0.003, 0.05, 1.0
0.004, 0.05, 3.0
0.005, 0.05, 0.0
0.006, 0.05, 3.0
0.007, 0.05, 1.0
0.008, 0.05, 4.0
0.009000000000000001, 0.05, 0.0
0.010000000000000002, 0.05, 0.0
0.011000000000000003, 0.05, 3.0
0.012000000000000004, 0.05, 3.0
0.013000000000000005, 0.05, 1.0
0.014000000000000005, 0.05, 0.0
0.015000000000000006, 0.05, 0.0
0.016000000000000007, 0.05, 1.0
0.017000000000000008, 0.05, 0.0
0.01800000000000001, 0.05, 0.0
0.01900000000000001, 0.05, 0.0
0.003, 0.060000000000000005, 5.0
0.004, 0.060000000000000005, 3.0
0.005, 0.060000000000000005, 5.0
0.006, 0.060000000000000005, 2.0
0.007, 0.060000000000000005, 2.0
0.008, 0.060000000000000005, 0.0
0.009000000000000001, 0.060000000000000005, 1.0
0.010000000000000002, 0.060000000000000005, 2.0
0.011000000000000003, 0.060000000000000005, 1.0
0.012000000000000004, 0.060000000000000005, 0.0
0.013000000000000005, 0.060000000000000005, 1.0
0.014000000000000005, 0.060000000000000005, 0.0
0.015000000000000006, 0.060000000000000005, 0.0
0.016000000000000007, 0.060000000000000005, 2.0
0.017000000000000008, 0.060000000000000005, 0.0
0.01800000000000001, 0.060000000000000005, 0.0
0.01900000000000001, 0.060000000000000005, 0.0
0.003, 0.07, 6.0
0.004, 0.07, 2.0
0.005, 0.07, 4.0
0.006, 0.07, 2.0
0.007, 0.07, 2.0
0.008, 0.07, 0.0
0.009000000000000001, 0.07, 1.0
0.010000000000000002, 0.07, 1.0
0.011000000000000003, 0.07, 0.0
0.012000000000000004, 0.07, 0.0
0.013000000000000005, 0.07, 1.0
0.014000000000000005, 0.07, 0.0
0.015000000000000006, 0.07, 0.0
0.016000000000000007, 0.07, 2.0
0.017000000000000008, 0.07, 0.0
0.01800000000000001, 0.07, 0.0
0.01900000000000001, 0.07, 0.0
0.003, 0.08, 2.0
0.004, 0.08, 2.0
0.005, 0.08, 3.0
0.006, 0.08, 0.0
0.007, 0.08, 0.0
0.008, 0.08, 1.0
0.009000000000000001, 0.08, 0.0
0.010000000000000002, 0.08, 1.0
0.011000000000000003, 0.08, 2.0
0.012000000000000004, 0.08, 0.0
0.013000000000000005, 0.08, 0.0
0.014000000000000005, 0.08, 0.0
0.015000000000000006, 0.08, 0.0
0.016000000000000007, 0.08, 0.0
0.017000000000000008, 0.08, 0.0
0.01800000000000001, 0.08, 0.0
0.01900000000000001, 0.08, 0.0
0.003, 0.09, 3.0
0.004, 0.09, 3.0
0.005, 0.09, 0.0
0.006, 0.09, 2.0
0.007, 0.09, 1.0
0.008, 0.09, 1.0
0.009000000000000001, 0.09, 0.0
0.010000000000000002, 0.09, 0.0
0.011000000000000003, 0.09, 0.0
0.012000000000000004, 0.09, 1.0
0.013000000000000005, 0.09, 1.0
0.014000000000000005, 0.09, 0.0
0.015000000000000006, 0.09, 1.0
0.016000000000000007, 0.09, 0.0
0.017000000000000008, 0.09, 0.0
0.01800000000000001, 0.09, 0.0
0.01900000000000001, 0.09, 0.0
0.003, 0.09999999999999999, 0.0
0.004, 0.09999999999999999, 1.0
0.005, 0.09999999999999999, 1.0
0.006, 0.09999999999999999, 0.0
0.007, 0.09999999999999999, 1.0
0.008, 0.09999999999999999, 2.0
0.009000000000000001, 0.09999999999999999, 1.0
0.010000000000000002, 0.09999999999999999, 2.0
0.011000000000000003, 0.09999999999999999, 1.0
0.012000000000000004, 0.09999999999999999, 1.0
0.013000000000000005, 0.09999999999999999, 0.0
0.014000000000000005, 0.09999999999999999, 1.0
0.015000000000000006, 0.09999999999999999, 1.0
0.016000000000000007, 0.09999999999999999, 0.0
0.017000000000000008, 0.09999999999999999, 1.0
0.01800000000000001, 0.09999999999999999, 0.0
0.01900000000000001, 0.09999999999999999, 0.0
0.003, 0.10999999999999999, 0.0
0.004, 0.10999999999999999, 2.0
0.005, 0.10999999999999999, 0.0
0.006, 0.10999999999999999, 1.0
0.007, 0.10999999999999999, 1.0
0.008, 0.10999999999999999, 0.0
0.009000000000000001, 0.10999999999999999, 0.0
0.010000000000000002, 0.10999999999999999, 0.0
0.011000000000000003, 0.10999999999999999, 0.0
0.012000000000000004, 0.10999999999999999, 1.0
0.013000000000000005, 0.10999999999999999, 0.0
0.014000000000000005, 0.10999999999999999, 1.0
0.015000000000000006, 0.10999999999999999, 1.0
0.016000000000000007, 0.10999999999999999, 1.0
0.017000000000000008, 0.10999999999999999, 0.0
0.01800000000000001, 0.10999999999999999, 1.0
0.01900000000000001, 0.10999999999999999, 0.0
0.003, 0.11999999999999998, 2.0
0.004, 0.11999999999999998, 0.0
0.005, 0.11999999999999998, 1.0
0.006, 0.11999999999999998, 2.0
0.007, 0.11999999999999998, 1.0
0.008, 0.11999999999999998, 0.0
0.009000000000000001, 0.11999999999999998, 0.0
0.010000000000000002, 0.11999999999999998, 0.0
0.011000000000000003, 0.11999999999999998, 1.0
0.012000000000000004, 0.11999999999999998, 1.0
0.013000000000000005, 0.11999999999999998, 1.0
0.014000000000000005, 0.11999999999999998, 1.0
0.015000000000000006, 0.11999999999999998, 0.0
0.016000000000000007, 0.11999999999999998, 1.0
0.017000000000000008, 0.11999999999999998, 0.0
0.01800000000000001, 0.11999999999999998, 0.0
0.01900000000000001, 0.11999999999999998, 0.0
0.003, 0.12999999999999998, 1.0
0.004, 0.12999999999999998, 1.0
0.005, 0.12999999999999998, 1.0
0.006, 0.12999999999999998, 2.0
0.007, 0.12999999999999998, 1.0
0.008, 0.12999999999999998, 1.0
0.009000000000000001, 0.12999999999999998, 0.0
0.010000000000000002, 0.12999999999999998, 1.0
0.011000000000000003, 0.12999999999999998, 1.0
0.012000000000000004, 0.12999999999999998, 0.0
0.013000000000000005, 0.12999999999999998, 0.0
0.014000000000000005, 0.12999999999999998, 0.0
