sync offset 1, symmetry error 1, decoded packets
26000.0, 910.0, 2.0
31000.0, 910.0, 3.0
36000.0, 910.0, 2.0
41000.0, 910.0, 0.0
46000.0, 910.0, 1.0
1000.0, 960.0, 1.0
6000.0, 960.0, 0.0
11000.0, 960.0, 0.0
16000.0, 960.0, 2.0
21000.0, 960.0, 1.0
26000.0, 960.0, 2.0
31000.0, 960.0, 2.0
36000.0, 960.0, 2.0
41000.0, 960.0, 0.0
46000.0, 960.0, 1.0
1000.0, 1010.0, 1.0
6000.0, 1010.0, 0.0
11000.0, 1010.0, 0.0
16000.0, 1010.0, 2.0
21000.0, 1010.0, 1.0
26000.0, 1010.0, 2.0
31000.0, 1010.0, 2.0
36000.0, 1010.0, 2.0
41000.0, 1010.0, 0.0
46000.0, 1010.0, 1.0
1000.0, 1060.0, 1.0
6000.0, 1060.0, 0.0
11000.0, 1060.0, 1.0
16000.0, 1060.0, 2.0
21000.0, 1060.0, 1.0
26000.0, 1060.0, 4.0
31000.0, 1060.0, 4.0
36000.0, 1060.0, 2.0
41000.0, 1060.0, 4.0
46000.0, 1060.0, 4.0
1000.0, 1110.0, 1.0
6000.0, 1110.0, 0.0
11000.0, 1110.0, 1.0
16000.0, 1110.0, 2.0
21000.0, 1110.0, 1.0
26000.0, 1110.0, 3.0
31000.0, 1110.0, 4.0
36000.0, 1110.0, 2.0
41000.0, 1110.0, 4.0
46000.0, 1110.0, 4.0
1000.0, 1160.0, 1.0
6000.0, 1160.0, 0.0
11000.0, 1160.0, 1.0
16000.0, 1160.0, 2.0
21000.0, 1160.0, 1.0
26000.0, 1160.0, 3.0
31000.0, 1160.0, 4.0
36000.0, 1160.0, 2.0
41000.0, 1160.0, 4.0
46000.0, 1160.0, 4.0
1000.0, 1210.0, 1.0
6000.0, 1210.0, 0.0
11000.0, 1210.0, 1.0
16000.0, 1210.0, 2.0
21000.0, 1210.0, 1.0
26000.0, 1210.0, 3.0
31000.0, 1210.0, 4.0
36000.0, 1210.0, 2.0
41000.0, 1210.0, 4.0
46000.0, 1210.0, 4.0
1000.0, 1260.0, 0.0
6000.0, 1260.0, 0.0
11000.0, 1260.0, 0.0
16000.0, 1260.0, 0.0
21000.0, 1260.0, 2.0
26000.0, 1260.0, 4.0
31000.0, 1260.0, 4.0
36000.0, 1260.0, 1.0
41000.0, 1260.0, 2.0
46000.0, 1260.0, 0.0
1000.0, 1310.0, 0.0
6000.0, 1310.0, 0.0
11000.0, 1310.0, 0.0
16000.0, 1310.0, 0.0
21000.0, 1310.0, 2.0
26000.0, 1310.0, 4.0
31000.0, 1310.0, 4.0
36000.0, 1310.0, 1.0
41000.0, 1310.0, 2.0
46000.0, 1310.0, 0.0
1000.0, 1360.0, 0.0
6000.0, 1360.0, 0.0
11000.0, 1360.0, 0.0
16000.0, 1360.0, 0.0
21000.0, 1360.0, 1.0
26000.0, 1360.0, 3.0
31000.0, 1360.0, 3.0
36000.0, 1360.0, 1.0
41000.0, 1360.0, 2.0
46000.0, 1360.0, 0.0
1000.0, 1410.0, 0.0
6000.0, 1410.0, 0.0
11000.0, 1410.0, 0.0
16000.0, 1410.0, 1.0
21000.0, 1410.0, 1.0
26000.0, 1410.0, 3.0
31000.0, 1410.0, 3.0
36000.0, 1410.0, 1.0
41000.0, 1410.0, 0.0
46000.0, 1410.0, 0.0
1000.0, 1460.0, 0.0
6000.0, 1460.0, 0.0
11000.0, 1460.0, 0.0
16000.0, 1460.0, 1.0
21000.0, 1460.0, 1.0
26000.0, 1460.0, 3.0
31000.0, 1460.0, 3.0
36000.0, 1460.0, 1.0
41000.0, 1460.0, 0.0
46000.0, 1460.0, 1.0
1000.0, 1510.0, 0.0
6000.0, 1510.0, 0.0
11000.0, 1510.0, 0.0
16000.0, 1510.0, 1.0
21000.0, 1510.0, 2.0
26000.0, 1510.0, 3.0
31000.0, 1510.0, 3.0
36000.0, 1510.0, 0.0
41000.0, 1510.0, 1.0
46000.0, 1510.0, 0.0
1000.0, 1560.0, 0.0
6000.0, 1560.0, 0.0
11000.0, 1560.0, 0.0
16000.0, 1560.0, 1.0
21000.0, 1560.0, 2.0
26000.0, 1560.0, 3.0
31000.0, 1560.0, 3.0
36000.0, 1560.0, 0.0
41000.0, 1560.0, 2.0
46000.0, 1560.0, 1.0
1000.0, 1610.0, 0.0
6000.0, 1610.0, 0.0
11000.0, 1610.0, 0.0
16000.0, 1610.0, 1.0
21000.0, 1610.0, 2.0
26000.0, 1610.0, 3.0
31000.0, 1610.0, 4.0
36000.0, 1610.0, 0.0
41000.0, 1610.0, 3.0
46000.0, 1610.0, 1.0
1000.0, 1660.0, 0.0
6000.0, 1660.0, 0.0
11000.0, 1660.0, 0.0
16000.0, 1660.0, 1.0
21000.0, 1660.0, 2.0
26000.0, 1660.0, 5.0
31000.0, 1660.0, 2.0
36000.0, 1660.0, 2.0
41000.0, 1660.0, 2.0
46000.0, 1660.0, 0.0
1000.0, 1710.0, 0.0
6000.0, 1710.0, 0.0
11000.0, 1710.0, 0.0
16000.0, 1710.0, 1.0
21000.0, 1710.0, 4.0
26000.0, 1710.0, 7.0
31000.0, 1710.0, 2.0
36000.0, 1710.0, 3.0
41000.0, 1710.0, 1.0
46000.0, 1710.0, 1.0
1000.0, 1760.0, 0.0
6000.0, 1760.0, 0.0
11000.0, 1760.0, 0.0
16000.0, 1760.0, 1.0
21000.0, 1760.0, 6.0
26000.0, 1760.0, 5.0
31000.0, 1760.0, 1.0
36000.0, 1760.0, 0.0
41000.0, 1760.0, 1.0
46000.0, 1760.0, 0.0
1000.0, 1810.0, 0.0
6000.0, 1810.0, 0.0
11000.0, 1810.0, 0.0
16000.0, 1810.0, 1.0
21000.0, 1810.0, 6.0
26000.0, 1810.0, 6.0
31000.0, 1810.0, 1.0
36000.0, 1810.0, 1.0
41000.0, 1810.0, 0.0
46000.0, 1810.0, 0.0
1000.0, 1860.0, 0.0
6000.0, 1860.0, 0.0
11000.0, 1860.0, 0.0
16000.0, 1860.0, 1.0
21000.0, 1860.0, 3.0
26000.0, 1860.0, 3.0
31000.0, 1860.0, 0.0
36000.0, 1860.0, 1.0
41000.0, 1860.0, 0.0
46000.0, 1860.0, 0.0
1000.0, 1910.0, 0.0
6000.0, 1910.0, 0.0
11000.0, 1910.0, 0.0
16000.0, 1910.0, 1.0
21000.0, 1910.0, 4.0
26000.0, 1910.0, 4.0
31000.0, 1910.0, 1.0
36000.0, 1910.0, 2.0
41000.0, 1910.0, 0.0
46000.0, 1910.0, 0.0
1000.0, 1960.0, 0.0
6000.0, 1960.0, 0.0
11000.0, 1960.0, 0.0
16000.0, 1960.0, 1.0
21000.0, 1960.0, 4.0
26000.0, 1960.0, 3.0
31000.0, 1960.0, 1.0
36000.0, 1960.0, 1.0
41000.0, 1960.0, 1.0
46000.0, 1960.0, 1.0
