loop filter p, loop filter i, decoded packets
0.2, 0.0002, 4.0
0.21000000000000002, 0.0002, 4.0
0.22000000000000003, 0.0002, 4.0
0.23000000000000004, 0.0002, 5.0
0.24000000000000005, 0.0002, 4.0
0.25000000000000006, 0.0002, 4.0
0.26000000000000006, 0.0002, 5.0
0.2700000000000001, 0.0002, 5.0
0.2800000000000001, 0.0002, 4.0
0.2900000000000001, 0.0002, 3.0
0.2, 0.00021, 4.0
0.21000000000000002, 0.00021, 4.0
0.22000000000000003, 0.00021, 4.0
0.23000000000000004, 0.00021, 5.0
0.24000000000000005, 0.00021, 4.0
0.25000000000000006, 0.00021, 4.0
0.26000000000000006, 0.00021, 4.0
0.2700000000000001, 0.00021, 5.0
0.2800000000000001, 0.00021, 3.0
0.2900000000000001, 0.00021, 4.0
0.2, 0.00022, 4.0
0.21000000000000002, 0.00022, 4.0
0.22000000000000003, 0.00022, 4.0
0.23000000000000004, 0.00022, 4.0
0.24000000000000005, 0.00022, 4.0
0.25000000000000006, 0.00022, 4.0
0.26000000000000006, 0.00022, 5.0
0.2700000000000001, 0.00022, 5.0
0.2800000000000001, 0.00022, 3.0
0.2900000000000001, 0.00022, 4.0
0.2, 0.00023, 4.0
0.21000000000000002, 0.00023, 4.0
0.22000000000000003, 0.00023, 4.0
0.23000000000000004, 0.00023, 5.0
0.24000000000000005, 0.00023, 5.0
0.25000000000000006, 0.00023, 4.0
0.26000000000000006, 0.00023, 4.0
0.2700000000000001, 0.00023, 5.0
0.2800000000000001, 0.00023, 3.0
0.2900000000000001, 0.00023, 4.0
0.2, 0.00024, 4.0
0.21000000000000002, 0.00024, 4.0
0.22000000000000003, 0.00024, 4.0
0.23000000000000004, 0.00024, 4.0
0.24000000000000005, 0.00024, 4.0
0.25000000000000006, 0.00024, 4.0
0.26000000000000006, 0.00024, 4.0
0.2700000000000001, 0.00024, 5.0
0.2800000000000001, 0.00024, 4.0
0.2900000000000001, 0.00024, 3.0
0.2, 0.00025, 4.0
0.21000000000000002, 0.00025, 4.0
0.22000000000000003, 0.00025, 4.0
0.23000000000000004, 0.00025, 4.0
0.24000000000000005, 0.00025, 4.0
0.25000000000000006, 0.00025, 4.0
0.26000000000000006, 0.00025, 4.0
0.2700000000000001, 0.00025, 5.0
0.2800000000000001, 0.00025, 4.0
0.2900000000000001, 0.00025, 4.0
0.2, 0.00026000000000000003, 4.0
0.21000000000000002, 0.00026000000000000003, 4.0
0.22000000000000003, 0.00026000000000000003, 4.0
0.23000000000000004, 0.00026000000000000003, 5.0
0.24000000000000005, 0.00026000000000000003, 5.0
0.25000000000000006, 0.00026000000000000003, 4.0
0.26000000000000006, 0.00026000000000000003, 5.0
0.2700000000000001, 0.00026000000000000003, 5.0
0.2800000000000001, 0.00026000000000000003, 4.0
0.2900000000000001, 0.00026000000000000003, 4.0
0.2, 0.00027000000000000006, 4.0
0.21000000000000002, 0.00027000000000000006, 4.0
0.22000000000000003, 0.00027000000000000006, 4.0
0.23000000000000004, 0.00027000000000000006, 4.0
0.24000000000000005, 0.00027000000000000006, 4.0
0.25000000000000006, 0.00027000000000000006, 4.0
0.26000000000000006, 0.00027000000000000006, 5.0
0.2700000000000001, 0.00027000000000000006, 5.0
0.2800000000000001, 0.00027000000000000006, 3.0
0.2900000000000001, 0.00027000000000000006, 3.0
0.2, 0.0002800000000000001, 4.0
0.21000000000000002, 0.0002800000000000001, 4.0
0.22000000000000003, 0.0002800000000000001, 4.0
0.23000000000000004, 0.0002800000000000001, 5.0
0.24000000000000005, 0.0002800000000000001, 5.0
0.25000000000000006, 0.0002800000000000001, 4.0
0.26000000000000006, 0.0002800000000000001, 5.0
0.2700000000000001, 0.0002800000000000001, 5.0
0.2800000000000001, 0.0002800000000000001, 3.0
0.2900000000000001, 0.0002800000000000001, 3.0
0.2, 0.0002900000000000001, 4.0
0.21000000000000002, 0.0002900000000000001, 4.0
0.22000000000000003, 0.0002900000000000001, 5.0
